City,Latitude,Longitude,Avg_green_area_1990,Avg_green_area_2000,Avg_green_area_2010,Avg_green_area_2020,Green_percapita_1990,Green_percapita_2000,Green_percapita_2010,Green_percapita_2020
Winston-Salem,36.0998131,-80.2440518,24.17,38.09,41.31,46.95,394.24,430.97,406.68,410.58
Austin,30.2711286,-97.7436995,25.48,40.73,38.21,43.22,420.25,420,290.22,219.65
Cleveland,41.4996574,-81.6936772,35.76,31.68,45.64,43.18,257.18,223.29,337.6,335.05
Raleigh,35.7803977,-78.6390989,45.02,40.96,43.04,42.1,"1,017.35",586.9,427.84,298.67
Savannah,32.0790074,-81.0921335,45.82,43.8,38.98,41.95,574.99,557.18,432.81,406.56
Atlanta,33.7489924,-84.3902644,42.76,41.85,42.38,41.04,652.68,420.03,364.01,293.96
"Columbia, South Carolina",34.000754,-81.0352313,38.31,37.43,38.07,40.43,565.03,459.89,389.61,346.29
Charlotte,35.2272086,-80.8430827,41.47,39.4,42.26,39.72,818.86,566.5,449.72,342.2
Charleston,32.7884363,-79.9399309,15.56,27.49,22.96,37.57,164.01,289.07,207.47,286.15
Philadelphia,39.9527237,-75.1635262,40.98,38.78,31.82,37.08,259.11,227.48,179.51,199.34
Wilmington,39.7459468,-75.546589,48.42,41.14,40.1,34.77,861.78,613.68,470.07,378.2
Houston,29.7589382,-95.3676974,36.15,34.49,33.58,32.41,463.97,344.14,267.9,204.35
Orlando,28.5421109,-81.3790304,30.99,31.86,29.89,29.93,586.14,437.7,319.26,258.25
San Antonio,29.4246002,-98.4951405,26.82,28.74,27.8,29.48,325.16,295.7,229.54,184.8
Chicago,41.8755616,-87.6244212,27.18,26.48,23.89,24.99,237,203.18,177.18,179.67
Seattle,47.6038321,-122.330062,26.64,26.39,22.42,24.62,222.27,178.01,133.55,129.73
Dallas,32.7762719,-96.7968559,28.94,18.43,15.28,22.66,337.5,160.51,108.94,132.93
Montgomery,32.37742,-86.3091683,19.65,19.7,21.39,22.39,237.67,231.97,244.27,194.22
Miami,25.7741728,-80.19362,14.89,15.13,12.07,21.56,124.32,102.04,72.94,116.95
Milwaukee,43.0386475,-87.9090751,24.45,23.24,20.84,17.3,218,197.95,172.49,138.85
Omaha,41.2587459,-95.9383758,12.67,13.62,14.42,15.67,141.83,133.74,123.94,117.86
San Diego,32.7174202,-117.162772,10.52,8.36,12.47,15.12,75.23,52.54,70.82,77.9
"Jackson, Mississippi",32.2998686,-90.1830408,16.99,15.65,15.82,14.38,154.55,142.39,139.89,108.05
"Eugene,OR",44.0505054,-123.0950506,11.18,12.37,12.69,14.31,96.84,94.1,88.25,90.4
Sioux Falls,43.5476008,-96.7293629,8.47,8.67,9.33,10.38,104.78,92.96,82.36,80.14
Wichita,37.68118565,-97.38720322,4.23,5.65,6.2,8.94,47.57,51.32,50.79,65.67
Sacramento,38.5810606,-121.493895,8.5,9.66,7.38,8.46,83.99,77.65,49.53,47.72
"Yakima,WA",46.601557,-120.510842,14.1,12.41,10.3,8.03,151.93,115.7,87.34,59.37
Los Angeles,34.0536909,-118.242766,9.23,6.61,7.01,5.88,39.7,25.73,25.78,20.5
"Yuma,AZ",32.723268,-114.6179954,8.77,7.78,6.49,5.82,116.38,73.25,50.2,46.53
Phoenix-Mesa,33.66461233,-112.0385723,8.69,6.79,4.55,4.92,124.39,66.65,35.25,30.62
Albuquerque,35.0841034,-106.650985,4.76,3.71,3.57,4.83,50.03,32.74,25.82,28.65
Las Vegas,36.1672559,-115.148516,2.84,4.21,4.69,4.78,41.72,33.45,26.15,19.75
Salt Lake City,40.7596198,-111.886797,6.47,5.42,4.99,4.49,55.77,40.84,32.64,25.03
"Fargo,ND",46.877229,-96.789821,1.34,1.62,2.07,2.23,16.86,18.17,19.26,17.56
